City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,pasuquin,18.3328,120.6177,24.97,83,75,0.51,PH,2025-01-30
300,ulsteinvik,62.3432,5.8487,4.06,92,100,0.97,NO,2025-01-30
301,fort st. john,56.2499,-120.8529,-16.06,78,100,7.2,CA,2025-01-30
302,muroto-misakicho,33.2833,134.15,7.42,53,3,3.33,JP,2025-01-30
303,margate,51.3813,1.3862,3.72,82,99,5.23,GB,2025-01-30
304,itoman,26.1247,127.6694,18.94,63,75,4.63,JP,2025-01-30
305,conneaut,41.9476,-80.5542,6.62,66,100,7.31,US,2025-01-30
306,inari,68.906,27.0288,-5.82,99,100,0.51,FI,2025-01-30
307,inirida,3.8653,-67.9239,23.94,95,93,0.91,CO,2025-01-30
308,speedway,39.8023,-86.2672,5.3,87,100,5.14,US,2025-01-30
309,shangzhi,45.2167,127.9667,-17.51,92,100,3.85,CN,2025-01-30
310,letlhakeng,-24.0944,25.0298,21.38,48,8,2.72,BW,2025-01-30
311,matoury,4.8483,-52.3317,26.98,83,20,3.09,GF,2025-01-30
312,natchitoches,31.7668,-93.1335,16.99,100,100,0.0,US,2025-01-30
313,bonthe,7.5264,-12.505,25.65,88,0,1.67,SL,2025-01-30
314,port lincoln,-34.7333,135.8667,20.15,65,9,6.22,AU,2025-01-30
315,togur,58.3631,82.8265,-25.92,99,26,1.89,RU,2025-01-30
316,kourou,5.1552,-52.6478,24.77,90,78,3.69,GF,2025-01-30
317,general villegas,-35.0328,-63.0125,25.52,41,0,3.94,AR,2025-01-30
318,kargil,34.5667,76.1,-17.23,97,100,0.44,IN,2025-01-30
319,botad,22.1667,71.6667,17.7,57,4,3.67,IN,2025-01-30
320,laborde,-33.1532,-62.8566,25.2,34,0,3.75,AR,2025-01-30
321,onguday,50.75,86.15,-16.39,97,100,0.89,RU,2025-01-30
322,hamilton,39.1834,-84.5333,6.07,91,100,5.66,US,2025-01-30
323,krotoszyn,51.6987,17.4374,4.68,88,100,2.69,PL,2025-01-30
324,yerofey pavlovich,53.9667,121.9667,-19.45,87,100,0.8,RU,2025-01-30
325,hotaka,36.3396,137.8825,0.44,72,20,1.54,JP,2025-01-30
326,viqueque,-8.8673,126.3658,27.58,82,100,1.03,TL,2025-01-30
327,fredrikstad,59.2181,10.9298,1.99,94,100,2.06,NO,2025-01-30
328,lihue,21.9789,-159.3672,26.52,83,97,11.56,US,2025-01-30
329,abepura,-2.6333,140.5833,30.45,70,20,1.03,ID,2025-01-30
330,vorgashor,67.5833,63.95,-19.44,99,89,1.99,RU,2025-01-30
331,chegdomyn,51.1167,133.0167,-20.22,91,100,0.62,RU,2025-01-30
332,qoryooley,1.7878,44.53,22.86,90,2,5.47,SO,2025-01-30
333,the pas,53.8251,-101.2541,-24.99,70,0,3.09,CA,2025-01-30
334,al ghayzah,16.2079,52.176,19.67,45,77,2.82,YE,2025-01-30
335,kabo,7.6994,18.629,20.21,19,64,2.01,CF,2025-01-30
336,lospalos,-8.5186,127.0025,27.14,75,100,1.79,TL,2025-01-30
337,acajutla,13.5928,-89.8275,26.14,75,0,3.28,SV,2025-01-30
338,basco,20.4487,121.9702,22.73,79,100,11.09,PH,2025-01-30
339,dedougou,12.4667,-3.4667,22.47,15,79,3.63,BF,2025-01-30
340,panaba,21.2833,-88.2667,24.7,74,0,5.05,MX,2025-01-30
341,choyr,46.3611,108.3611,-22.72,100,87,2.1,MN,2025-01-30
342,touros,-5.1989,-35.4608,26.69,74,10,4.61,BR,2025-01-30
343,lautoka,-17.6167,177.4667,27.92,69,75,2.57,FJ,2025-01-30
344,rabo de peixe,37.8,-25.5833,15.73,77,75,6.17,PT,2025-01-30
345,lerwick,60.1545,-1.1494,4.57,85,100,5.43,GB,2025-01-30
346,codrington,-38.2667,141.9667,21.51,47,1,5.58,AU,2025-01-30
